code,level1,level2,type,category,name
6520382500,6500000000,6520300000,,,КІЗОМИСЬКА/С.КІЗОМИС
6520382501,6500000000,6520300000,НП,С,КІЗОМИС
6520382502,6500000000,6520300000,НП,Щ,БЕРЕГОВЕ
6520382503,6500000000,6520300000,НП,Щ,ВЕЛЕТЕНСЬКЕ
6520382505,6500000000,6520300000,НП,Щ,ГОНЧАРНЕ
6520383000,6500000000,6520300000,,,КИСЕЛІВСЬКА/С.КИСЕЛІВКА
6520383001,6500000000,6520300000,НП,С,КИСЕЛІВКА
6520383002,6500000000,6520300000,НП,С,БАРВІНОК
6520383003,6500000000,6520300000,НП,С,ЗЕЛЕНИЙ ГАЙ
6520383004,6500000000,6520300000,НП,С,КЛАПАЯ
6520383500,6500000000,6520300000,,,МУЗИКІВСЬКА/С.МУЗИКІВКА
6520383501,6500000000,6520300000,НП,С,МУЗИКІВКА
6520383502,6500000000,6520300000,НП,С,ВИСУНЦІ
6520383503,6500000000,6520300000,НП,С,МІРОШНИКІВКА
6520383504,6500000000,6520300000,НП,С,ЗАГОРЯНІВКА
6520383505,6500000000,6520300000,НП,С,СХІДНЕ
6520384500,6500000000,6520300000,,,МИКІЛЬСЬКА/С.МИКІЛЬСЬКЕ
6520384501,6500000000,6520300000,НП,С,МИКІЛЬСЬКЕ
6520384502,6500000000,6520300000,НП,С,ПОНЯТІВКА
6520384700,6500000000,6520300000,,,БЛАГОДАТНІВСЬКА/С.БЛАГОДАТНЕ
6520384701,6500000000,6520300000,НП,С,БЛАГОДАТНЕ
6520385000,6500000000,6520300000,,,ПОСАД-ПОКРОВСЬКА/С.ПОСАД-ПОКРОВСЬКЕ
6520385001,6500000000,6520300000,НП,С,ПОСАД-ПОКРОВСЬКЕ
6520385002,6500000000,6520300000,НП,С,СОЛДАТСЬКЕ
6520385003,6500000000,6520300000,НП,Щ,КОПАНІ
6520385500,6500000000,6520300000,,,ПРАВДИНСЬКА/С.ПРАВДИНЕ
6520385501,6500000000,6520300000,НП,С,ПРАВДИНЕ
